msg_id,context_groups
476831,0
476832,0
476833,0
476834,0
476835,0
476836,0
476837,0
476839,0
476840,0
476841,0
476842,0
476844,0
476845,0
476846,0
476847,0
476848,0
476849,0
476852,0
476853,0
476854,0
476855,0
476856,0
476857,0
476858,0
476859,0
476860,0
476861,0
476862,0
476863,0
476864,0
476865,0
476867,0
476868,0
476869,0
476870,0
476871,0
476872,0
476873,0
476874,0
476875,0
476876,0
476877,0
476878,0
476879,0
476880,0
476881,0
476883,0
476884,0
476885,0
476886,0
476887,0
476888,0
476889,0
476891,0
476892,0
476893,0
476894,0
476895,0
476896,0
476897,0
476898,0
476899,0
476900,0
476901,0
476902,0
476903,0
476904,0
476905,0
476906,0
476907,0
476908,0
476909,0
476910,0
476911,0
476912,0
476913,0
